"ID";"broodID";"nestsiteID";"species";"weight_nest";"feathers_nest_nb";"lining_nest_material";"maleID";"femaleID";"parent1ID";"parent2ID";"parent3ID";"min_nr_ad_feeding";"information";"year";"day_nest_build_start";"month_nest_build_start";"day_raw_nest";"month_raw_nest";"day_full_nest";"month_full_nest";"weight_clutch";"day first egg";"month first egg";"accuracy first egg";"number of eggs";"days laying eggs";"day_incubation_start";"month_incubation_start";"accuracy_incubation_start";"day hatching first egg";"month hatching first egg";"accuracy_hatching";"days hatching chicks";"number of nestlings_early";"age of nestlings_early";"age difference";"number of nestlings_late";"age of nestlings_late";"number of fledglings";"day of fledging";"month of fledging";"accuracy fledging";"day_egg_loss";"month_of_egg_loss";"accuracy_date_egg_loss";"cause of egg loss";"day_of_death_nestlings";"month_of_death_nestlings";"accuracy_data_death_nestling";"cause of death nestlings";"notes";"owner_data";"incubation_temp";"microclim_temp";"nest_camera";"min_nr_nestl_late"
42;"Fluela_hotel_2_17";"Fluela_Hotel_2";"Montifringilla nivalis";;;;;;;;;;;2017.00;;;;;;;;;;;;;;;;12.00;7.00;1.00;;;;;;;;"2";8.00;0.00;;;;;;;;;"Still incubating on the 11.07.2017, 12.07.2017 male with food, feeding chicks on the 18.07.2017, 26.07.2017, fledged on the 02.08.2017 21h00";"SOI";;;;
43;"Furka_building_6_17";"Furka_building_6";"Montifringilla nivalis";;;;;;"alusilverr";"unringed";;;;2017.00;;;;;;;;;;;;;;;;19.00;7.00;3.00;;;;;;;;"8";8.00;3.00;;;;;;;;;"First observation chick provisioning on the 25.07.2017, still feeding on the 05082017, chick putting head out";"SOI";;;;
44;"Grimsel_hotel_right_17";"Grimsel_hotel_right";"Montifringilla nivalis";;;;;;;;;;;2017.00;;;;;;;;;;;;;;;;8.00;6.00;2.00;;;;;;;;"28";6.00;2.00;;;;;;;;;"Ind enter below the roof in the nest on the 12062017, X chicks fledged between the 27062017 and the 30062017";"SOI";;;;
45;"Furka_building_11_ibex_left_17";"Furka_building_11_ibex_left";"Montifringilla nivalis";;;;"N   544309";;;;;;;2017.00;;;;;;;;;;;;;;;;6.00;7.00;1.00;;;;;;;;"26";7.00;1.00;;;;;;;;;"X chicks fledged between the 25.07.2017 and the 27.07.2017";"SOI";;;;
46;"Barn_Valais_left_17";"Barn_Valais_left";"Montifringilla nivalis";;;;;"unringed";;"unringed";;;;2017.00;;;;;;;;;;;;;;;;21.00;6.00;2.00;;;;;;;;"11";7.00;2.00;;;;;;;;;"1 chick still receinving food out of the roof 10072017";"SOI";;;;
47;"Tiefenbach_2_16";"Tiefenbach_2";"Montifringilla nivalis";;;;;"N   566705";;;;;;2017.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"12-13.07.2017 female seems to be incubating but with food, 18.07.2017, 20.07.2017 nothing";"SOI";;;;
48;"Hotel_Belvedere_17";"Hotel_Belvedere";"Montifringilla nivalis";;;;;;;;;;;2017.00;;;;;;;;;;;;;;;;12.00;6.00;2.00;;;;;;;;"2";7.00;2.00;;;;;;;;;"X chicks fledged between  the 30062017 and the 03072017";"SOI";;;;
49;"Zermatt_1_17";"Zermatt_1";"Montifringilla nivalis";114.40;;;;"N   544739";;;;;;2017.00;;;;;;;;28.00;5.00;4.00;4;;;;;13.00;6.00;3.00;;3.00;;1.00;;;2.00;"3";7.00;3.00;;;;;;;;;"12.06.2017 4 hot eggs, 22.06.2017 3 chicks around 8 d, 29.06.2017 2 chicks around 15 d, 05.07.2017 nothing check ibutton";"SOI";;;;
50;"Zermatt_tunnel_17";"Zermatt_tunnel";"Montifringilla nivalis";;;;;;;;;;;2017.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"05.07.2017 parents foraging X chicks";"SOI";;;;
51;"Zermatt_Hotel_RiffelHauss_17";"Zermatt_Hotel_RiffelHauss";"Montifringilla nivalis";;;;;;;;;;;2017.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"05.07.2017 parents foraging X chicks";"SOI";;;;
52;"Fluela_Colony_1_17";"Fluela_Colony_1";"Montifringilla nivalis";;;;;;;;;;;2017.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"14.06.2017 many snowfinches between 06:26 and 07:22, 11.07.2017 10 snowfinches around between 06:07 and 06:41, 18.07.2017 5 individuals between 16:55 and 17:15, 25.07.2017 bad weather nothing between 18:00 and 18:30, 04.08.2017 nothing 06:00 and 7:30";"SOI";;;;
53;"Fluela_Colony_2_17";"Fluela_Colony_2";"Montifringilla nivalis";;;;;;;;;;;2017.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"14.06.2017 4 snowfinches between 08:55 and 09:30, 11.07.2017 2 snowfinches around between 07:00 and 07:43, 04.08.2017 nothing 06:00 and 7:30";"SOI";;;;
54;"Fluela_Colony_3_17";"Fluela_Colony_3";"Montifringilla nivalis";;;;;;;;;;;2017.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"11.07.2017 > 18 snowfinches around between 09:26 and 10:56 with fledglings, 04.08.2017 nothing 06:00 and 7:30";"SOI";;;;
55;"MelchseeFrut_Colony_1_17";"ChringenA";"Montifringilla nivalis";;;;;;;;;;;2017.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"FRAENZIII : 08.06.2017 and 13.07.2017 active in the colony";"SOI";;;;
56;"Furka20_16";"Furka20";"Phoenicurus ochruros";;;;;;;;;;;2016.00;;;;;;;;;;;4;;;;;9.00;7.00;2.00;;4.00;;;;;0.00;;;;;;;;;;;"cold weather?snow?";"14.06.2016 and 21.06.2016 nest in the entrance, 12.07.2016 3 redstart chicks alive and one dead around 3-4days, 19.07.2016 all chicks dead";"SOI";;;;
57;"Furka10_17";"Furka10";"Phoenicurus ochruros";;;;;;;;;;;2017.00;;;;;;;;;;;5;;;;;12.00;6.00;2.00;;5.00;;;;;5.00;;;;;;;;;;;;"29.05.2017 Nest_with_4_cold_eggs, 31.05.2017 Nest_with_5_cold_eggs_ibutton2, 25.06.2017, 5 chicks 10-12 days";"SOI";;;;
58;"Furka19_17";"Furka19";"Phoenicurus ochruros";;;;;;;;;;;2017.00;;;;;;;;;;;3;;;;;25.00;7.00;1.00;;3.00;;;;;3.00;;;;;;;;;;;;"06.07.2017 Nest ready, 25.07.2017 3_chicks_redstart_0_1d_female on it, 03.08 3 chicks 10-12 days";"SOI";;;;
59;"Furka13_16";"Furka13";"Montifringilla nivalis";40.70;20.00;"feathers, hairs";;;;;;;;2016.00;;;;;;;;15.00;5.00;15.00;4;;;;;;;;;0.00;;;;;0.00;;;;;;;;;;;;"4 cold eggs when we arrived";"SOI";;;;
60;"Furka29_17";"Furka29";"Montifringilla nivalis";;;;;;;;;;;2017.00;;;;;;;;30.00;6.00;1.00;1;;;;;;;;;0.00;;;;;0.00;;;;;;;;;;;;"1 cold egg collected at 3.8.2017";"SOI";;;;
61;"PassoGavia5_17";"PassoGavia5";"Montifringilla nivalis";;;;;;;;;;;2017.00;;;;;;;;25.00;5.00;4.00;;;;;;11.00;6.00;2.00;;4.00;;;;;;;;;;;;;;;;;;"Davide Scridel";;;;
62;"PassoStelvio17_17";"PassoStelvio17";"Montifringilla nivalis";;;;;;;;;;;2017.00;;;;;;;;27.00;5.00;4.00;;;;;;14.00;6.00;2.00;;4.00;;;;;;;;;;;;;;;;;;"Davide Scridel";;;;
63;"PassoStelvio7_17";"PassoStelvio7";"Montifringilla nivalis";;;;;;;;;;;2017.00;;;;;;;;18.00;5.00;4.00;;;;;;5.00;6.00;3.00;;4.00;;;;;3.00;;;;;;;;;;;;;"Davide Scridel";;;;
64;"PassoStelvio6_17";"PassoStelvio6";"Montifringilla nivalis";;;;;;;;;;;2017.00;;;;;;;;29.00;5.00;3.00;;;;;;16.00;6.00;3.00;;4.00;;;;;;;;;;;;;;;;;;"Davide Scridel";;;;
65;"Jenatsch3_18";"Jenatsch3";"Montifringilla nivalis";;;;"unringed";"unringed";"unringed";"unringed";;;;2018.00;;;;;;;;22.00;6.00;2.00;;;;;;7.00;7.00;2.00;;3.00;"3";;"3";"21";3.00;"28";7.00;0.00;;;;;;;;;"at 28.7.2018 there were 4 nestlings in the nest, one was unringed, maybe it was from another brood that already fledged?";"SOI";;;;
66;"Furka15_18";"Furka15";"Montifringilla nivalis";83.10;45.00;"feathers, wool";;;"unringed";"alusilverr";;;;2018.00;;;;;;;;20.00;5.00;2.00;;;;;;6.00;6.00;1.00;;4.00;"2";;"4";"20";4.00;"26";6.00;1.00;;;;;;;;;;"SOI";;;;
67;"Furka4_18";"Furka4";"Montifringilla nivalis";86.90;33.00;"feathers. wool";"N   566738";"N   588208";"N   566738";"N   588208";;;;2018.00;;;;;;;;20.00;5.00;2.00;;;;;;6.00;6.00;1.00;;4.00;"2";;"4";"20";4.00;"26";6.00;1.00;;;;;;;;;;"SOI";;;;
68;"Fluelahotel18a";"Fluelahotel_Garage";"Montifringilla nivalis";;;;"unringed";"unringed";"unringed";"unringed";;;;2018.00;;;;;;;;;;;;;;;;;;;;;;;;;;"18";6.00;1.00;;;;;;;;;;"SOI";;;;
69;"ChringenA18";"ChringenA";"Montifringilla nivalis";;;;"NA";"NA";"NA";"NA";;;;2018.00;;;;;;;;;;;;;;;;;;;;;;;;;;"18";6.00;2.00;;;;;;;;;;"SOI";;;;
70;"TiefenbachM_18a";"TiefenbachM1SSWwallR";"Montifringilla nivalis";;;;"N   566737";"N   566736";;;;;;2018.00;;;;;;;;;;;;;;;;;;;;;;;;;;"21";6.00;0.00;;;;;;;;;;;;;;
71;"Grimselkappelle18a";"GrimselChaNWnnb1L";"Montifringilla nivalis";;;;;;"N   566752";"unringed";;;;2018.00;;;;;;;;;;;;;;;;14.00;6.00;1.00;;;;;;;;;;;;;;;;;;;;;;;;
72;"FruttErzLowSE5stbe1st_18a";"FruttErzLowSE5stbe1st";"Montifringilla nivalis";;;;;;"unringed";"unringed";;;;2018.00;;;;;;;;;;;;;;;;;;;;;;;;;;"28";7.00;2.00;;;;;;;;;;;;;;
73;"FruttBalTopNNW1stbe4th_18a";"FruttBalTopNNW1stbe4th";"Montifringilla nivalis";;;;;;"NA";"NA";;;;2018.00;;;;;;;;;;;;;;;;;;;;;;;;;;"28";7.00;2.00;;;;;;;;;;;;;;
74;"FurkaH4NWnnb16L_18a";"FurkaH4NWnnb16L";"Montifringilla nivalis";;;;;;"NA";"unringed";;;;2018.00;;;;;;;;;;;;;;;;;;;;;;;;;;"6";8.00;0.00;;;;;;;;;;;;;;
75;"FurkaH6SWroofM_18a";"FurkaH6SWroofM";"Montifringilla nivalis";;;;;;"unringed";"NA";;;;2018.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
