"ID";"broodID";"nestsiteID";"species";"weight_nest";"feathers_nest_nb";"lining_nest_material";"maleID";"femaleID";"parent1ID";"parent2ID";"parent3ID";"min_nr_ad_feeding";"information";"year";"day_nest_build_start";"month_nest_build_start";"day_raw_nest";"month_raw_nest";"day_full_nest";"month_full_nest";"weight_clutch";"day first egg";"month first egg";"accuracy first egg";"number of eggs";"days laying eggs";"day_incubation_start";"month_incubation_start";"accuracy_incubation_start";"day hatching first egg";"month hatching first egg";"accuracy_hatching";"days hatching chicks";"number of nestlings_early";"age of nestlings_early";"age difference";"number of nestlings_late";"age of nestlings_late";"number of fledglings";"day of fledging";"month of fledging";"accuracy fledging";"day_egg_loss";"month_of_egg_loss";"accuracy_date_egg_loss";"cause of egg loss";"day_of_death_nestlings";"month_of_death_nestlings";"accuracy_data_death_nestling";"cause of death nestlings";"notes";"owner_data";"incubation_temp";"microclim_temp";"nest_camera";"min_nr_nestl_late"
128;"ChringenA_19";"ChringenA";"Montifringilla nivalis";;;;;;"unringed";;;;;2019.00;;;;;;;;31.00;5.00;8.00;;;;;;16.00;6.00;7.00;;;"NA";;"NA";"NA";;"7";7.00;7.00;;;;;;;;;;;;;;
129;"AlberghoBernina_SE_extension_roofcorner_20";"AlberghoBernina_SE_extension_roofcorner";"Montifringilla nivalis";;;;;;;;;;;2020.00;;;;;;;;16.00;7.00;10.00;;;;;;29.00;7.00;10.00;;;;;;;;"19";8.00;10.00;;;;;;;;;;;;;;
130;"Balmeregg23_S_R_20";"Balmeregg23_S_R";"Montifringilla nivalis";;;;;;;;;;;2020.00;;;;;;;;12.00;5.00;2.00;;;;;;25.00;5.00;2.00;;;;;;;;"15";6.00;2.00;;;;;;;;;;;;;;
131;"Balmeregg21_N_L_20";"Balmeregg21_N_L";"Montifringilla nivalis";;;;;"N   630689";;;;;;2020.00;;;;;;;;16.00;7.00;1.00;;;;;;29.00;7.00;1.00;;;;;;;;"19";8.00;1.00;;;;;;;;;;;;;;
132;"BarnValais2_20";"BarnValais2";"Montifringilla nivalis";;;;;;;;;;;2020.00;;;;;;;;17.00;5.00;4.00;3;;;;;30.00;5.00;4.00;;3.00;"2";;"3";"15";3.00;"20";6.00;4.00;;;;;;;;;"Clutch weight: 8.2";;;;;
133;"Bernhard12_20";"Bernhard12";"Montifringilla nivalis";;;;;;;;;;;2020.00;;;;;;;;1.00;7.00;6.00;;;;;;14.00;7.00;6.00;;;;;;;;"4";8.00;6.00;;;;;;;;;;;;;;
134;"Bonistocklift13_S_R_20";"Bonistocklift13_S_R";"Montifringilla nivalis";;;;;;;;;;;2020.00;;;;;;;;26.00;5.00;4.00;;;;;;8.00;6.00;4.00;;;;;;;;"29";6.00;4.00;;;;;;;;;;;;;;
135;"CarexSW_20";"CarexSW";"Montifringilla nivalis";;;;;;;;;;;2020.00;;;;;;;;1.00;6.00;2.00;;;;;;14.00;6.00;2.00;;;;;;;;"5";7.00;2.00;;;;;;;;;;;;;;
136;"Cassinetta1_E_20";"Cassinetta1_E";"Montifringilla nivalis";;;;;;;;;;;2020.00;;;;;;;;29.00;5.00;6.00;;;;;;11.00;6.00;6.00;;;;;;;;"2";7.00;6.00;;;;;;;;;;;;;;
137;"Chaemmerli1_E_20";"Chaemmerli1_E";"Montifringilla nivalis";;;;;;;;;;;2020.00;;;;;;;;30.00;5.00;6.00;;;;;;12.00;6.00;6.00;;;;;;;;"3";7.00;6.00;;;;;;;;;;;;;;
138;"ChauxExpress13_20";"ChauxExpress13";"Montifringilla nivalis";;;;;;;;;;;2020.00;;;;;;;;16.00;5.00;10.00;;;;;;29.00;5.00;10.00;;;;;;;;"19";6.00;10.00;;;;;;;;;;;;;;
139;"Corviglia1_roof_N_2L_20";"Corviglia1_roof_N_2L";"Montifringilla nivalis";;;;;;;;;;;2020.00;;;;;;;;6.00;6.00;7.00;;;;;;19.00;6.00;7.00;;;;;;;;"10";7.00;7.00;;;;;;;;;;;;;;
140;"Engstligensee9_WSW_L_20";"Engstligensee9_WSW_L";"Montifringilla nivalis";;;;;;;;;;;2020.00;;;;;;;;28.00;5.00;4.00;;;;;;10.00;6.00;4.00;;;;;;;;"1";7.00;4.00;;;;;;;;;;;;;;
141;"Erzegg12_NW_L_20";"Erzegg12_NW_L";"Montifringilla nivalis";;;;;;;;;;;2020.00;;;;;;;;11.00;5.00;2.00;;;;;;24.00;5.00;2.00;;;;;;;;"14";6.00;2.00;;;;;;;;;;;;;;
142;"Erzegg15_SE_R_20";"Erzegg15_SE_R";"Montifringilla nivalis";;;;;;;;;;;2020.00;;;;;;;;18.00;5.00;4.00;;;;;;31.00;5.00;4.00;;;;;;;;"21";6.00;4.00;;;;;;;;;;;;;;
143;"Erzegglift8_SE_R_20";"Erzegglift8_SE_R";"Montifringilla nivalis";;;;"N   630020";;;;;;;2020.00;;;;;;;;15.00;6.00;4.00;;;;;;28.00;6.00;4.00;;;;;;"4";;"19";7.00;4.00;;;;;;;;;;;;;;2.00
144;"Erzegglift13_SE_R_20";"Erzegglift13_SE_R";"Montifringilla nivalis";;;;;;;;;;;2020.00;;;;;;;;18.00;5.00;4.00;;;;;;31.00;5.00;4.00;;;;;;;;"21";6.00;4.00;;;;;;;;;;;;;;
145;"Erzegglift3_SE_R_20";"Erzegglift3_SE_R";"Montifringilla nivalis";;;;;;;;;;;2020.00;;;;;;;;12.00;5.00;2.00;;;;;;25.00;5.00;2.00;;;;;;;;"15";6.00;2.00;;;;;;;;;;;;;;
146;"Erzegglift6_SE_R_20";"Erzegglift6_SE_R";"Montifringilla nivalis";;;;;;;;;;;2020.00;;;;;;;;18.00;5.00;4.00;;;;;;31.00;5.00;4.00;;;;;;;;"21";6.00;4.00;;;;;;;;;;;;;;
147;"FIS3_SE_R_20";"FIS3_SE_R";"Montifringilla nivalis";;;;;;;;;;;2020.00;;;;;;;;23.00;5.00;6.00;;;;;;5.00;6.00;6.00;;;;;;;;"26";6.00;6.00;;;;;;;;;;;;;;
148;"FIS4_SE_L_20";"FIS4_SE_L";"Montifringilla nivalis";;;;;;;;;;;2020.00;;;;;;;;23.00;5.00;6.00;;;;;;5.00;6.00;6.00;;;;;;;;"26";6.00;6.00;;;;;;;;;;;;;;
149;"FIS5_SE_L_20b";"FIS5_SE_L";"Montifringilla nivalis";;;;;;;;;;;2020.00;;;;;;;;19.00;6.00;6.00;;;;;;2.00;7.00;6.00;;;;;;;;"23";7.00;6.00;;;;;;;;;;;;;;
150;"FIS5_SE_L_20a";"FIS5_SE_L";"Montifringilla nivalis";;;;;;;;;;;2020.00;;;;;;;;10.00;5.00;7.00;;;;;;23.00;5.00;7.00;;;;;;;;"13";6.00;7.00;;;;;;;;;;;;;;
151;"FIS7_NW_L_20";"FIS7_NW_L";"Montifringilla nivalis";;;;;;;;;;;2020.00;;;;;;;;15.00;6.00;2.00;;;;;;28.00;6.00;2.00;;;;;;;;"19";7.00;2.00;;;;;;;;;;;;;;
152;"FIS7_SE_R_20";"FIS7_SE_R";"Montifringilla nivalis";;;;;;;;;;;2020.00;;;;;;;;5.00;5.00;10.00;;;;;;18.00;5.00;10.00;;;;;;;;"8";6.00;10.00;;;;;;;;;;;;;;
153;"FIS9_NW_L_20";"FIS9_NW_L";"Montifringilla nivalis";;;;;;;;;;;2020.00;;;;;;;;19.00;6.00;6.00;;;;;;2.00;7.00;6.00;;;;;;;;"23";7.00;6.00;;;;;;;;;;;;;;
154;"Fluelahotel_Garage_20";"Fluelahotel_Garage";"Montifringilla nivalis";;;;;;;;;;;2020.00;;;;;;;;23.00;5.00;5.00;;;;;;5.00;6.00;5.00;;;;;;;;"26";6.00;5.00;;;;;;;;;;;;;;
155;"Furka11_20";"Furka11";"Montifringilla nivalis";;;;;;;;;;;2020.00;;;;;;;;19.00;5.00;2.00;4;;;;;1.00;6.00;2.00;;4.00;"2";;"2";"15";2.00;"22";6.00;2.00;;;;;;;;;"Clutch weight: 15.6";;;;;
156;"Furka13_20";"Furka13";"Montifringilla nivalis";;;;"N   588207";;;;;;;2020.00;;;;;;;;17.00;5.00;0.00;5;;;;;30.00;5.00;0.00;;5.00;"1";;"5";"15";5.00;"20";6.00;0.00;;;;;;;;;"Clutch weight: 19.2";;;;;
157;"Furka15_20";"Furka15";"Montifringilla nivalis";;;;"N   588207";;;;;;;2020.00;;;;;;;;1.00;7.00;2.00;4;;;;;14.00;7.00;2.00;;3.00;"3";;"3";"19";3.00;"4";8.00;2.00;;;;;;;;;"no clutch weight";;;;;
158;"Furka2_20";"Furka2";"Montifringilla nivalis";;;;"N   544315";;;;;;;2020.00;;;;;;;;21.00;5.00;0.00;4;;;;;3.00;6.00;0.00;;4.00;"2";;"4";"22";4.00;"24";6.00;0.00;;;;;;;;;"Clutch weight: 15.8";;;;;
159;"Furka29_20";"Furka29";"Montifringilla nivalis";;;;"N   630005";;;;;;;2020.00;;;;;;;;21.00;5.00;0.00;4;;;;;3.00;6.00;0.00;;3.00;"2";;"3";"15";3.00;"24";6.00;0.00;;;;;;;;;"Clutch weight: 15.7";;;;;
160;"FurkaH11NEroofCenterR1_20";"FurkaH11NEroofCenterR1";"Montifringilla nivalis";;;;;;;;;;;2020.00;;;;;;;;27.00;5.00;2.00;;;;;;9.00;6.00;2.00;;;;;;;;"30";6.00;2.00;;;;;;;;;;;;;;
161;"FurkaH11SWRoofTop1R_20";"FurkaH11SWRoofTop1R";"Montifringilla nivalis";;;;;"N   588017";;;;;;2020.00;;;;;;;;1.00;6.00;2.00;;;;;;14.00;6.00;2.00;;;;;;;;"5";7.00;2.00;;;;;;;;;;;;;;
162;"FurkaH8RoofSW3R_20";"FurkaH8RoofSW3R";"Montifringilla nivalis";;;;;;;;;;;2020.00;;;;;;;;1.00;6.00;2.00;;;;;;14.00;6.00;2.00;;;;;;;;"5";7.00;2.00;;;;;;;;;;;;;;
163;"Gifthittli11_SE_R_20";"Gifthittli11_SE_R";"Montifringilla nivalis";;;;;;;;;;;2020.00;;;;;;;;19.00;5.00;6.00;;;;;;1.00;6.00;6.00;;;;;;;;"22";6.00;6.00;;;;;;;;;;;;;;
164;"Gifthittli12_E_L_20";"Gifthittli12_E_L";"Montifringilla nivalis";;;;;;;;;;;2020.00;;;;;;;;28.00;6.00;2.00;;;;;;11.00;7.00;2.00;;;;;;;;"1";8.00;2.00;;;;;;;;;;;;;;
165;"Gifthittli14_NW_m_20";"Gifthittli14_NW_m";"Montifringilla nivalis";;;;;;;;;;;2020.00;;;;;;;;10.00;5.00;3.00;;;;;;23.00;5.00;3.00;;;;;;;;"13";6.00;3.00;;;;;;;;;;;;;;
166;"Gifthittli15_NW_m_20";"Gifthittli15_NW_m";"Montifringilla nivalis";;;;;;;;;;;2020.00;;;;;;;;13.00;6.00;10.00;;;;;;26.00;6.00;10.00;;;;;;;;"17";7.00;10.00;;;;;;;;;;;;;;
167;"Gifthittli5_E_m_20";"Gifthittli5_E_m";"Montifringilla nivalis";;;;;;;;;;;2020.00;;;;;;;;10.00;5.00;3.00;;;;;;23.00;5.00;3.00;;;;;;;;"13";6.00;3.00;;;;;;;;;;;;;;
168;"Gifthittli8_NW_m_20";"Gifthittli8_NW_m";"Montifringilla nivalis";;;;;;;;;;;2020.00;;;;;;;;10.00;5.00;3.00;;;;;;23.00;5.00;3.00;;;;;;;;"13";6.00;3.00;;;;;;;;;;;;;;
169;"Gluena_station_N_20";"Gluena_station_N";"Montifringilla nivalis";;;;;;;;;;;2020.00;;;;;;;;23.00;5.00;6.00;;;;;;5.00;6.00;6.00;;;;;;;;"26";6.00;6.00;;;;;;;;;;;;;;
170;"Grimsel_church_E_centre_20";"Grimsel_church_E_centre";"Montifringilla nivalis";;;;;;"N   566752";;;;;2020.00;;;;;;;;25.00;7.00;6.00;;;;;;7.00;8.00;6.00;;;;;;;;"28";8.00;6.00;;;;;;;;;;;;;;
171;"Grimsel_church_NW_20";"Grimsel_church_NW";"Montifringilla nivalis";;;;;;"N   566752";;;;;2020.00;;;;;;;;21.00;5.00;0.00;;;;;;3.00;6.00;0.00;;;;;;;;"24";6.00;0.00;;;;;;;;;;;;;;
172;"Grimsel_road_Plaenggerli_middle_20";"Grimsel_road_Plaenggerli_middle";"Montifringilla nivalis";;;;;;;;;;;2020.00;;;;;;;;9.00;6.00;4.00;;;;;;22.00;6.00;4.00;;;;;;;;"13";7.00;4.00;;;;;;;;;;;;;;
173;"Hotel_Furka_NWrightWindowRoof_20";"Hotel_Furka_NWrightWindowRoof";"Montifringilla nivalis";;;;;;;;;;;2020.00;;;;;;;;21.00;5.00;0.00;;;;;;3.00;6.00;0.00;;;;;;;;"24";6.00;0.00;;;;;;;;;;;;;;
174;"HouseObriTolenSW_20";"HouseObriTolenSW";"Montifringilla nivalis";;;;;;;;;;;2020.00;;;;;;;;1.00;6.00;2.00;;;;;;14.00;6.00;2.00;;;;;;;;"5";7.00;2.00;;;;;;;;;;;;;;
175;"Jenatsch2_20";"Jenatsch2";"Montifringilla nivalis";;;;"N   588182";;"N   588182";;;;;2020.00;;;;;;;;18.00;6.00;0.00;;;;;;1.00;7.00;0.00;;;;;"4";"21";;"22";7.00;0.00;;;;;;;;;;;;;;
176;"Joch7_20";"Joch7";"Montifringilla nivalis";;;;;;;;;;;2020.00;;;;;;;;22.00;5.00;2.00;;;;;;4.00;6.00;2.00;;4.00;"12";;"2";"21";4.00;"25";6.00;2.00;;;;;;;;;;;;;;
177;"Jochpass5_S_R_20";"Jochpass5_S_R";"Montifringilla nivalis";;;;;;;;;;;2020.00;;;;;;;;2.00;5.00;8.00;;;;;;15.00;5.00;8.00;;;;;;;;"5";6.00;8.00;;;;;;;;;;;;;;
178;"Jochpass8_N_R_20";"Jochpass8_N_R";"Montifringilla nivalis";;;;;;;;;;;2020.00;;;;;;;;2.00;5.00;8.00;;;;;;15.00;5.00;8.00;;;;;;;;"5";6.00;8.00;;;;;;;;;;;;;;
179;"Jochpass14_S_R_20";"Jochpass14_S_R";"Montifringilla nivalis";;;;;;;;;;;2020.00;;;;;;;;19.00;5.00;2.00;;;;;;1.00;6.00;2.00;;;;;;;;"22";6.00;2.00;;;;;;;;;;;;;;
180;"Jochpass5_N_R_20";"Jochpass5_N_R";"Montifringilla nivalis";;;;;;;;;;;2020.00;;;;;;;;24.00;6.00;4.00;;;;;;7.00;7.00;4.00;;;;;;;;"28";7.00;4.00;;;;;;;;;;;;;;
181;"Jochpass7_N_R_20";"Jochpass7_N_R";"Montifringilla nivalis";;;;;;;;;;;2020.00;;;;;;;;17.00;6.00;4.00;;;;;;30.00;6.00;4.00;;;;;;;;"21";7.00;4.00;;;;;;;;;;;;;;
182;"JochstockExpress2_SE_L_20";"JochstockExpress2_SE_L";"Montifringilla nivalis";;;;;;;;;;;2020.00;;;;;;;;24.00;6.00;4.00;;;;;;7.00;7.00;4.00;;;;;;;;"28";7.00;4.00;;;;;;;;;;;;;;
183;"JochstockExpress5_SE_L_20";"JochstockExpress5_SE_L";"Montifringilla nivalis";;;;;;;;;;;2020.00;;;;;;;;24.00;6.00;4.00;;;;;;7.00;7.00;4.00;;;;;;;;"28";7.00;4.00;;;;;;;;;;;;;;
184;"LaChaux7_N_R_20";"LaChaux7_N_R";"Montifringilla nivalis";;;;;;;;;;;2020.00;;;;;;;;16.00;5.00;10.00;;;;;;29.00;5.00;10.00;;;;;;;;"19";6.00;10.00;;;;;;;;;;;;;;
185;"Laemmerenhuette_roof_N_20";"Laemmerenhuette_roof_N";"Montifringilla nivalis";;;;;;;;;;;2020.00;;;;;;;;2.00;7.00;10.00;;;;;;15.00;7.00;10.00;;;;;;;;"5";8.00;10.00;;;;;;;;;;;;;;
186;"Laeuber1_SE_20";"Laeuber1_SE";"Montifringilla nivalis";;;;;;;;;;;2020.00;;;;;;;;9.00;6.00;2.00;;;;;;22.00;6.00;2.00;;;;;;;;"13";7.00;2.00;;;;;;;;;;;;;;
187;"LejdalaPesch7_SW_R_20";"LejdalaPesch7_SW_R";"Montifringilla nivalis";;;;;;;;;;;2020.00;;;;;;;;20.00;6.00;6.00;;;;;;3.00;7.00;6.00;;;;;;;;"24";7.00;6.00;;;;;;;;;;;;;;
188;"LejSaluver8_NE_L_20";"LejSaluver8_NE_L";"Montifringilla nivalis";;;;;;;;;;;2020.00;;;;;;;;20.00;6.00;6.00;;;;;;3.00;7.00;6.00;;;;;;;;"24";7.00;6.00;;;;;;;;;;;;;;
189;"Marguns3_NW_roundtube_20";"Marguns3_NW_roundtube";"Montifringilla nivalis";;;;;;;;;;;2020.00;;;;;;;;19.00;6.00;6.00;;;;;;2.00;7.00;6.00;;;;;;;;"23";7.00;6.00;;;;;;;;;;;;;;
190;"PizNair_Station_N_20";"PizNair_Station_N";"Montifringilla nivalis";;;;;;;;;;;2020.00;;;;;;;;19.00;6.00;6.00;;;;;;2.00;7.00;6.00;;;;;;;;"23";7.00;6.00;;;;;;;;;;;;;;
191;"PizNair2_E_20";"PizNair2_E";"Montifringilla nivalis";;;;;;;;;;;2020.00;;;;;;;;10.00;5.00;7.00;;;;;;23.00;5.00;7.00;;;;;;;;"13";6.00;7.00;;;;;;;;;;;;;;
192;"PizNair2_Level2_laderL_20";"PizNair2_Level2_laderL";"Montifringilla nivalis";;;;;;;;;;;2020.00;;;;;;;;16.00;6.00;3.00;;;;;;29.00;6.00;3.00;;;;;;;;"20";7.00;3.00;;;;;;;;;;;;;;
193;"Planplatten14_SE_L_20";"Planplatten14_SE_L";"Montifringilla nivalis";;;;;;;;;;;2020.00;;;;;;;;26.00;5.00;6.00;;;;;;8.00;6.00;6.00;;;;;;;;"29";6.00;6.00;;;;;;;;;;;;;;
194;"PlateauNair11_S_centre_20";"PlateauNair11_S_centre";"Montifringilla nivalis";;;;;;;;;;;2020.00;;;;;;;;23.00;5.00;6.00;;;;;;5.00;6.00;6.00;;;;;;;;"26";6.00;6.00;;;;;;;;;;;;;;
195;"PlateauNair6_NE_L_20";"PlateauNair6_NE_L";"Montifringilla nivalis";;;;;;;;;;;2020.00;;;;;;;;23.00;5.00;6.00;;;;;;5.00;6.00;6.00;;;;;;;;"26";6.00;6.00;;;;;;;;;;;;;;
196;"PlateauNair13_centre_SW_L_20";"PlateauNair13_centre_SW_L";"Montifringilla nivalis";;;;;;;;;;;2020.00;;;;;;;;27.00;7.00;10.00;;;;;;9.00;8.00;10.00;;;;;;;;"30";8.00;10.00;;;;;;;;;;;;;;
197;"Randolins14_SE_r_20";"Randolins14_SE_r";"Montifringilla nivalis";;;;;;;;;;;2020.00;;;;;;;;8.00;5.00;6.00;;;;;;21.00;5.00;6.00;;;;;;;;"11";6.00;6.00;;;;;;;;;;;;;;
198;"Randolins9_SE_l_20";"Randolins9_SE_l";"Montifringilla nivalis";;;;;;"unringed";;;;;2020.00;;;;;;;;18.00;5.00;4.00;;;;;;31.00;5.00;4.00;;;;;;;;"21";6.00;4.00;;;;;;;;;;;;;;
199;"RauStoeckli1_NE_20";"RauStoeckli1_NE";"Montifringilla nivalis";;;;;;;;;;;2020.00;;;;;;;;23.00;6.00;2.00;;;;;;6.00;7.00;2.00;;;;;;;;"27";7.00;2.00;;;;;;;;;;;;;;
200;"RauStoeckli1_SE_20";"RauStoeckli1_SE";"Montifringilla nivalis";;;;;;;;;;;2020.00;;;;;;;;2.00;6.00;4.00;;;;;;15.00;6.00;4.00;;;;;;;;"6";7.00;4.00;;;;;;;;;;;;;;
201;"RauStoeckli2450_NW_20";"RauStoeckli2450_NW";"Montifringilla nivalis";;;;;;;;;;;2020.00;;;;;;;;2.00;6.00;4.00;;;;;;15.00;6.00;4.00;;;;;;;;"6";7.00;4.00;;;;;;;;;;;;;;
202;"RauStoeckliNW_20";"RauStoeckliNW";"Montifringilla nivalis";;;;;;;;;;;2020.00;;;;;;;;22.00;5.00;2.00;;;;;;4.00;6.00;2.00;;;;;;;;"25";6.00;2.00;;;;;;;;;;;;;;
203;"Riffelberg_Buffet_wall_S_20";"Riffelberg_Buffet_wall_S";"Montifringilla nivalis";;;;;;;;;;;2020.00;;;;;;;;19.00;5.00;6.00;;;;;;1.00;6.00;6.00;;;;;;;;"22";6.00;6.00;;;;;;;;;;;;;;
204;"Riffelberg_roof_NE_20";"Riffelberg_roof_NE";"Montifringilla nivalis";;;;;;;;;;;2020.00;;;;;;;;16.00;5.00;9.00;;;;;;29.00;5.00;9.00;;;;;;;;"19";6.00;9.00;;;;;;;;;;;;;;
205;"Riffelberg_station_roof_centerR_20";"Riffelberg_station_roof_centerR";"Montifringilla nivalis";;;;;;;;;;;2020.00;;;;;;;;14.00;6.00;10.00;;;;;;27.00;6.00;10.00;;;;;;;;"18";7.00;10.00;;;;;;;;;;;;;;
206;"Riffelberg2_roof_NE_20";"Riffelberg2_roof_NE";"Montifringilla nivalis";;;;;;;;;;;2020.00;;;;;;;;16.00;5.00;9.00;;;;;;29.00;5.00;9.00;;;;;;;;"19";6.00;9.00;;;;;;;;;;;;;;
207;"Riffelberg3_roof_NE_20";"Riffelberg3_roof_NE";"Montifringilla nivalis";;;;;;;;;;;2020.00;;;;;;;;25.00;7.00;10.00;;;;;;7.00;8.00;10.00;;;;;;;;"28";8.00;10.00;;;;;;;;;;;;;;
208;"Salastrains13_NW_L_20";"Salastrains13_NW_L";"Montifringilla nivalis";;;;;;;;;;;2020.00;;;;;;;;19.00;7.00;4.00;;;;;;1.00;8.00;4.00;;;;;;;;"22";8.00;4.00;;;;;;;;;;;;;;
209;"Salastrains13_SE_L_20";"Salastrains13_SE_L";"Montifringilla nivalis";;;;;;;;;;;2020.00;;;;;;;;26.00;5.00;-3.00;;;;;;8.00;6.00;-3.00;;;;;;;;"29";6.00;-3.00;;;;;;;;;;;;;;
210;"Salastrains14_NW_R_20";"Salastrains14_NW_R";"Montifringilla nivalis";;;;;;;;;;;2020.00;;;;;;;;1.00;6.00;2.00;;;;;;14.00;6.00;2.00;;;;;;;;"5";7.00;2.00;;;;;;;;;;;;;;
211;"Salastrains16_NW_R_20";"Salastrains16_NW_R";"Montifringilla nivalis";;;;;;;;;;;2020.00;;;;;;;;25.00;7.00;10.00;;;;;;7.00;8.00;10.00;;;;;;;;"28";8.00;10.00;;;;;;;;;;;;;;
212;"Salastrains16_SE_l_20";"Salastrains16_SE_l";"Montifringilla nivalis";;;;;;;;;;;2020.00;;;;;;;;8.00;5.00;6.00;;;;;;21.00;5.00;6.00;;;;;;;;"11";6.00;6.00;;;;;;;;;;;;;;
213;"Salastrains17_NW_R_20";"Salastrains17_NW_R";"Montifringilla nivalis";;;;;;;;;;;2020.00;;;;;;;;16.00;6.00;2.00;;;;;;29.00;6.00;2.00;;;;;;;;"20";7.00;2.00;;;;;;;;;;;;;;
214;"Salastrains18_NW_R_20";"Salastrains18_NW_R";"Montifringilla nivalis";;;;;;;;;;;2020.00;;;;;;;;6.00;6.00;7.00;;;;;;19.00;6.00;7.00;;;;;;;;"10";7.00;7.00;;;;;;;;;;;;;;
215;"Salastrains18_SE_l_20";"Salastrains18_SE_l";"Montifringilla nivalis";;;;;;;;;;;2020.00;;;;;;;;6.00;5.00;4.00;;;;;;19.00;5.00;4.00;;;;;;;;"9";6.00;4.00;;;;;;;;;;;;;;
216;"Schaftal1_SE_20";"Schaftal1_SE";"Montifringilla nivalis";;;;;;;;;;;2020.00;;;;;;;;30.00;6.00;2.00;;;;;;13.00;7.00;2.00;;;;;;;;"3";8.00;2.00;;;;;;;;;;;;;;
217;"SeRouge2612_SW_20";"SeRouge2612_SW";"Montifringilla nivalis";;;;;;;;;;;2020.00;;;;;;;;24.00;7.00;10.00;;;;;;6.00;8.00;10.00;;;;;;;;"27";8.00;10.00;;;;;;;;;;;;;;
218;"SidelhornbahnBergstation_S_R_20";"SidelhornbahnBergstation_S_R";"Montifringilla nivalis";;;;;;;;;;;2020.00;;;;;;;;19.00;5.00;6.00;;;;;;1.00;6.00;6.00;;;;;;;;"22";6.00;6.00;;;;;;;;;;;;;;
219;"Signal10_SE_R_20";"Signal10_SE_R";"Montifringilla nivalis";;;;;;;;;;;2020.00;;;;;;;;15.00;6.00;3.00;;;;;;28.00;6.00;3.00;;;;;;"3";;"19";7.00;3.00;;;;;;;;;;;;;;4.00
220;"Signal12_NW_R_20";"Signal12_NW_R";"Montifringilla nivalis";;;;"unringed";"N   588115";;;;;;2020.00;;;;;;;;19.00;7.00;4.00;;;;;;1.00;8.00;4.00;;;;;;;;"22";8.00;4.00;;;;;;;;;;;;;;
221;"Signal13_NW_R_20";"Signal13_NW_R";"Montifringilla nivalis";;;;;;;;;;;2020.00;;;;;;;;19.00;6.00;6.00;;;;;;2.00;7.00;6.00;;;;;;;;"23";7.00;6.00;;;;;;;;;;;;;;
222;"Signal13_SE_R_20";"Signal13_SE_R";"Montifringilla nivalis";;;;;;;;;;;2020.00;;;;;;;;6.00;5.00;4.00;;;;;;19.00;5.00;4.00;;;;;;;;"9";6.00;4.00;;;;;;;;;;;;;;
223;"Signal14_SE_L_20";"Signal14_SE_L";"Montifringilla nivalis";;;;;;"unringed";;;;;2020.00;;;;;;;;6.00;5.00;4.00;;;;;;19.00;5.00;4.00;;;;;;;;"9";6.00;4.00;;;;;;;;;;;;;;
224;"Signal15_SE_L_20";"Signal15_SE_L";"Montifringilla nivalis";;;;;;;;;;;2020.00;;;;;;;;19.00;6.00;6.00;;;;;;2.00;7.00;6.00;;;;;;;;"23";7.00;6.00;;;;;;;;;;;;;;
225;"Signal16_SE_L_20";"Signal16_SE_L";"Montifringilla nivalis";;;;;;;;;;;2020.00;;;;;;;;19.00;6.00;6.00;;;;;;2.00;7.00;6.00;;;;;;;;"23";7.00;6.00;;;;;;;;;;;;;;
226;"Signal17_NW_L_20";"Signal17_NW_L";"Montifringilla nivalis";;;;;;;;;;;2020.00;;;;;;;;6.00;6.00;7.00;;;;;;19.00;6.00;7.00;;;;;;;;"10";7.00;7.00;;;;;;;;;;;;;;
227;"Signal17_SE_r_20";"Signal17_SE_r";"Montifringilla nivalis";;;;;;;;;;;2020.00;;;;;;;;6.00;5.00;4.00;;;;;;19.00;5.00;4.00;;;;;;;;"9";6.00;4.00;;;;;;;;;;;;;;
228;"Signal18_NW_L_20";"Signal18_NW_L";"Montifringilla nivalis";;;;;;;;;;;2020.00;;;;;;;;19.00;6.00;6.00;;;;;;2.00;7.00;6.00;;;;;;;;"23";7.00;6.00;;;;;;;;;;;;;;
229;"Signal7_NW_L_20";"Signal7_NW_L";"Montifringilla nivalis";;;;;;;;;;;2020.00;;;;;;;;18.00;6.00;6.00;;;;;;1.00;7.00;6.00;;;;;;;;"22";7.00;6.00;;;;;;;;;;;;;;
230;"Signal8_20";"Signal8";"Montifringilla nivalis";;;;;;"unringed";;;;;2020.00;;;;;;;;28.00;4.00;4.00;;;;;;11.00;5.00;4.00;;;;;;;;"1";6.00;4.00;;;;;;;;;;;;;;
231;"Signal9_SE_R_20";"Signal9_SE_R";"Montifringilla nivalis";;;;;;;;;;;2020.00;;;;;;;;5.00;6.00;6.00;;;;;;18.00;6.00;6.00;;;;;;;;"9";7.00;6.00;;;;;;;;;;;;;;
232;"TiefenbachM1_ESEroof3rd_20";"TiefenbachM1_ESEroof3rd";"Montifringilla nivalis";;;;;;;;;;;2020.00;;;;;;;;25.00;6.00;0.00;;;;;;8.00;7.00;0.00;;;;;;;;"29";7.00;0.00;;;;;;;;;;;;;;
233;"TiefenbachM1SSWwallR_20a";"TiefenbachM1SSWwallR";"Montifringilla nivalis";;;;;;;;;;;2020.00;;;;;;;;17.00;4.00;0.00;;;;;;30.00;4.00;0.00;;;;;;;;"21";5.00;0.00;;;;;;;;;;;;;;
